"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"TOMM40",0.000143958898284289,0.367643668528473,0.275,0.216,1,"TOMM40","Endothelial"
"CENPC",0.000146882925388722,-0.48164333918278,0.222,0.265,1,"CENPC","Endothelial"
"MPP1",0.000147928421256409,-0.646211925150392,0.124,0.162,1,"MPP1","Endothelial"
"METAP2",0.000148785507227971,0.289698053789165,0.446,0.377,1,"METAP2","Endothelial"
"ROM1",0.00014944407979732,0.652179895143871,0.122,0.082,1,"ROM1","Endothelial"
"DBN1",0.000150169162118724,0.264970184906751,0.288,0.227,1,"DBN1","Endothelial"
"ZNF667-AS1",0.000154263780606187,-0.41162959469433,0.216,0.258,1,"ZNF667-AS1","Endothelial"
"NFATC1",0.000157237776940954,0.532896996241438,0.222,0.172,1,"NFATC1","Endothelial"
"DCAF13",0.000157468851678307,0.379208334058721,0.269,0.21,1,"DCAF13","Endothelial"
"CDYL2",0.000158258640522713,0.684453621807845,0.119,0.082,1,"CDYL2","Endothelial"
