"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Macrophage",0.0175109479233461,0,0.0175109479233461
"TNF","TNFRSF1A","TNF","Pericyte","Macrophage",0.0348582212890266,0.0523642318634671,-0.0175060105744406
"FGF2","FGFR1","FGF","Pericyte","Macrophage",0,0.0174662801439334,-0.0174662801439334
"PDGFA","PDGFRA","PDGF","Pericyte","Macrophage",0.0171900557002319,0,0.0171900557002319
"TGFB1","TGFBR1","TGFb","Keratinocyte","Mast_cell",0.0169073656183614,0,0.0169073656183614
"VEGFA","KDR","VEGF","Pericyte","Lymphatic_Endo",0.0890543477434297,0.105960856376637,-0.0169065086332072
"TNF","TNFRSF1A","TNF","Fibroblast","Endothelial",0.0164420278498535,0,0.0164420278498535
"TGFB1","TGFBR1","TGFb","Fibroblast","Smooth_Muscle",0.0377123146793481,0.0213369920658794,0.0163753226134688
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Pericyte",0.0163323168454644,0,0.0163323168454644
"TGFB1","TGFBR1","TGFb","Endothelial","Smooth_Muscle",0.0417003477473776,0.0254697646108871,0.0162305831364905
"PDGFA","PDGFRA","PDGF","Myeloid","Fibroblast",0.0161598843310323,0,0.0161598843310323
"TGFB1","TGFBR1","TGFb","Fibroblast","Pericyte",0.0409424696722813,0.0248946648976948,0.0160478047745865
"IL6","IL6R","IL6","Smooth_Muscle","Keratinocyte",0.0275057143354947,0.0115782830165964,0.0159274313188982
"IL6","IL6R","IL6","Fibroblast","Fibroblast",0.0159027605432536,0,0.0159027605432536
"FGF2","FGFR1","FGF","Keratinocyte","Lymphatic_Endo",0.0157591646905424,0,0.0157591646905424
"IL1B","IL1R1","IL1","T_cell","Fibroblast",0.0156677676430143,0,0.0156677676430143
"IL6","IL6R","IL6","Fibroblast","Mast_cell",0.0155679896512925,0,0.0155679896512925
"TNF","TNFRSF1A","TNF","Mast_cell","Keratinocyte",0.125196835412712,0.109631279242651,0.0155655561700617
"TGFB1","TGFBR1","TGFb","Endothelial","Pericyte",0.0452720878441742,0.0297165248528703,0.0155555629913039
"IL1B","IL1R1","IL1","Keratinocyte","Endothelial",0.0154864454098779,0,0.0154864454098779
"IL1B","IL1R1","IL1","Pericyte","Smooth_Muscle",0.0152890627347224,0,0.0152890627347224
"HGF","MET","HGF","Pericyte","Lymphatic_Endo",0,0.015275293912475,-0.015275293912475
"IL1B","IL1R1","IL1","Keratinocyte","Pericyte",0.0151567029283407,0,0.0151567029283407
"PDGFA","PDGFRA","PDGF","Endothelial","Keratinocyte",0.0151516677504889,0,0.0151516677504889
"TGFB1","TGFBR1","TGFb","Pericyte","Lymphatic_Endo",0,0.0151309813064509,-0.0151309813064509
"IL6","IL6R","IL6","Fibroblast","Smooth_Muscle",0.0327736754192548,0.0176484019495841,0.0151252734696706
"VEGFA","KDR","VEGF","Macrophage","Keratinocyte",0.0150766061751863,0,0.0150766061751863
"FGF2","FGFR1","FGF","Endothelial","Endothelial",0.051089630345671,0.0361700528069829,0.0149195775386881
"TNF","TNFRSF1A","TNF","Smooth_Muscle","Fibroblast",0.0148971305429846,0,0.0148971305429846
"IL6","IL6R","IL6","Macrophage","Smooth_Muscle",0.0148358014270271,0,0.0148358014270271
"IL1B","IL1R1","IL1","Mast_cell","Keratinocyte",0.0147397215755324,0,0.0147397215755324
"TNF","TNFRSF1A","TNF","Mast_cell","Lymphatic_Endo",0.125722007237535,0.111062914889676,0.0146590923478587
"VEGFA","KDR","VEGF","Macrophage","Smooth_Muscle",0,0.0146007309724357,-0.0146007309724357
"FGF2","FGFR1","FGF","Smooth_Muscle","Melanocyte",0.0145683295774085,0,0.0145683295774085
