source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Lymphoid_immune,Basalis_fibroblast,CD99,CD81,1.6517155,0.0,2.6517751,0.5269470479432501,0.6757467256969891,0.009567073,0.91837364,0.217724253344982,0.001979527142677865
Basalis_fibroblast,Macrophages,DCN,TLR2,2.220299,0.0,2.0304444,2.3493707164950335,2.8816637827837623,0.26706356,0.90779173,1.789264623786519e-07,0.0019841862930180887
Decidualized_stromal,SOX9+LGR5+_stem,PTN,NCL,1.6514049,0.0,2.727138,0.9544444427123959,1.1418126977892653,0.020615686,0.9194179,0.06418995856808311,0.0019888506174592347
SOX9+LGR5+_stem,Decidualized_stromal,CD99,CD81,1.6506898,0.0,2.2962599,0.4762708217656092,0.4832330912567625,0.008284445,0.91281325,0.3270261360632191,0.001998195526271065
Basalis_fibroblast,Erythrocytes,COL1A1,CD44,1.646765,0.0,2.436137,0.678540944975794,0.9055114725328715,0.014791123,0.9151377,0.07556792805553825,0.002035792430857525
SOX9+LGR5+_stem,CD133+_progenitor,FGFR4,TNFRSF10A,0.05516254,0.0,0.0029114063,0.20267189432764243,0.018297681625667833,0.025792705,0.2715601,0.5109512578305938,0.0020608386873591606
Basalis_fibroblast,Glandular_epithelium,DCN,MET,2.2163353,0.0,1.9993459,1.8410055088891792,2.5844357721714184,0.07407886,0.9071437,4.408816891763992e-05,0.0020785033740371123
Basalis_fibroblast,Macrophages,TIMP2,CD44,1.6421152,0.0,2.635142,1.2169609602994726,1.4435576468367315,0.030666068,0.9181375,0.009084576169011054,0.0020880544209186786
Basalis_fibroblast,NKT_cells,LAMA2,RPSA,1.6419152,0.0,2.2748568,1.0903857711443443,1.1059776364015494,0.03417782,0.9124399,0.03413333333333333,0.002097626879279098
Basalis_fibroblast,Smooth_muscle,TIMP2,ITGB1,1.6415926,0.0,2.6336846,1.138021998681286,1.3532587169622532,0.026839465,0.91811675,0.017802804050494454,0.0021072209996966284
Basalis_fibroblast,Basalis_fibroblast,COL1A1,CD44,1.638288,0.0,2.3993158,0.6694090793756663,0.9653251610138931,0.014567561,0.91454446,0.07556792805553825,0.0021264744754193017
SOX9+LGR5+_stem,Pericyte,VIM,CD44,2.0564508,0.0,1.9826354,0.17955928837816287,0.3202755544843371,0.004087176,0.9067896,1.0,0.0021482382829511983
Basalis_fibroblast,Macrophages,APP,CD74,1.6365645,0.0,2.2389553,0.699299301295019,1.307293813794983,0.016320905,0.9118023,0.07556792805553825,0.002155517247718715
Decidualized_stromal,SOX9+LGR5+_stem,COL1A1,ITGAV_ITGB8,1.9135236,0.0,1.9741442,1.3690786011705225,1.8045381940328993,0.042730372,0.90660805,0.0024130857853375677,0.002174987021560286
CD133+_progenitor,Decidualized_stromal,CD99,CD81,1.6327385,0.0,2.2134936,0.4538812916012874,0.5376707232285323,0.00798584,0.9113413,0.3595031446435597,0.0021798682545876237
Basalis_fibroblast,SOX9+LGR5+_stem,MDK,NCL,1.6325663,0.0,2.6649067,0.5667854768689524,0.5504786482056934,0.0108523145,0.91855866,0.14979421507235896,0.0021847549003547765
Basalis_fibroblast,Macrophages,COL4A2,CD44,1.630465,0.0,2.5911064,1.0706029952494942,1.3982008503719126,0.027339315,0.917502,0.029904488236753828,0.0021945439112771425
Macrophages,SOX9+LGR5+_stem,VIM,CD44,1.8037786,0.0,1.9693775,0.006466074499466012,-0.3061800729268632,0.004059845,0.90650564,1.0,0.0021994462748943133
Decidualized_stromal,SOX9+LGR5+_stem,VCAN,ITGB1,1.628477,0.0,2.5946581,0.8010410807875745,0.9278504530136656,0.021141395,0.9175538,0.07556792805553825,0.0022141868704710537
CD133+_progenitor,SOX9+LGR5+_stem,FGF18,FGFR4,0.055174872,0.0,0.002912484,0.27367105952065174,0.05697234427484185,0.0423861,0.2715967,0.3846126373844113,0.002219325697035739
Basalis_fibroblast,Lymphatic_endothelium,SPARC,ENG,1.6281931,0.0,2.5905542,1.511309481445436,1.7224296652451818,0.062367074,0.9174939,0.001264429331181453,0.002224040815592824
Basalis_fibroblast,Decidualized_stromal,COL1A1,CD44,1.6280987,0.0,2.3550568,0.6584310732428377,0.9223648152363535,0.014298839,0.91381407,0.07556792805553825,0.0022289761648700323
Decidualized_stromal,SOX9+LGR5+_stem,LUM,ITGB1,1.6266644,0.0,2.589622,0.9187518127643699,1.0396356870470231,0.021669267,0.9174803,0.07556792805553825,0.002238862572348229
Basalis_fibroblast,Secretory_glandular,HLA-A,APLP2,1.6265723,0.0,2.6366053,0.25955261160318743,0.13441836082949477,0.00824289,0.91815835,0.3314444675254893,0.00224381415277572
Smooth_muscle,SOX9+LGR5+_stem,VIM,CD44,1.7929081,0.0,1.9547993,-0.0017595863454484828,-0.10373281757910935,0.0040297923,0.90619034,1.0,0.002258700828872589
Basalis_fibroblast,Decidualized_stromal,MDK,NCL,1.6250334,0.0,2.640599,0.5580270639972021,0.5755611497837687,0.010753325,0.9182152,0.15396451432623393,0.002268652150432773
Basalis_fibroblast,Lymphoid_immune,APP,CD74,1.6243685,0.0,2.2152047,0.6897013925682295,0.5795950744098133,0.016147776,0.91137254,0.07556792805553825,0.0022786251064891953
SOX9+LGR5+_stem,B_cells,MIF,CD44_CD74,1.6216261,0.0,2.5116696,0.4243906267083018,0.4658860481218057,0.009462829,0.91631585,0.22482988499856377,0.0023036524025290468
Basalis_fibroblast,NKT_cells,MDK,NCL,1.618312,0.0,2.6189098,0.5502098450235439,0.6630746811834594,0.010665001,0.91790503,0.15804634582213947,0.002333863812125449
SOX9+LGR5+_stem,Secretory_glandular,HLA-A,APLP2,1.6172248,0.0,2.607983,0.2498957433582656,0.1157087938915945,0.008153409,0.9177473,0.340681865133388,0.002343977355734129
Decidualized_stromal,Basalis_fibroblast,COL1A1,DDR2,1.9071546,0.0,1.9332235,1.6138986082380242,1.978840449458267,0.07336368,0.90571755,0.00035869462877644986,0.0023591884816449664
NKT_cells,Basalis_fibroblast,VIM,CD44,1.6146595,1.0,2.3471088,-0.06701231963942203,-0.38106558429180004,0.0048385337,0.91368085,1.0,0.0023642698469146573
SOX9+LGR5+_stem,Lymphoid_immune,MIF,CD44_CD74,1.6141503,0.0,2.4822874,0.4163358717505372,0.3784927208259714,0.00935213,0.9158636,0.23284210770060076,0.002374448254994854
